time,angle,r1,r2,r3,r4,r5,r6,circular,lateral,rawname
20:37.7,155.7631622,749,698,713,702,716,726,0,-2,CZP_0_down2
20:37.7,156.1798112,749,698,714,702,716,726,0,-2,CZP_0_down2
20:37.7,156.3888534,749,699,714,702,716,727,0,-2,CZP_0_down2
20:37.8,156.6751385,749,699,714,701,716,727,0,-2,CZP_0_down2
20:37.8,156.9879514,748,699,715,701,716,728,0,-2,CZP_0_down2
20:37.8,156.958703,747,699,716,700,716,727,0,-2,CZP_0_down2
20:37.8,156.1832787,746,700,718,700,717,728,0,-2,CZP_0_down2
20:37.8,155.2110278,744,701,720,699,717,730,0,-2,CZP_0_down2
20:37.9,154.498243,742,703,724,698,716,732,0,-2,CZP_0_down2
20:37.9,152.1102498,740,705,727,698,716,733,0,-2,CZP_0_down2
20:37.9,149.4935131,737,707,731,697,715,737,0,-2,CZP_0_down2
20:37.9,145.7019509,735,711,732,697,714,740,0,-2,CZP_0_down2
20:37.9,141.6612968,734,715,732,697,714,743,0,-2,CZP_0_down2
20:38.0,137.9265173,732,717,730,696,712,744,0,-2,CZP_0_down2
20:38.0,134.0426212,735,722,731,697,712,747,0,-2,CZP_0_down2
20:38.0,130.0850284,734,725,730,698,714,750,0,-2,CZP_0_down2
20:38.0,125.9719879,735,727,730,698,713,752,0,-2,CZP_0_down2
20:38.0,121.6459493,736,729,730,701,714,754,0,-2,CZP_0_down2
20:38.1,117.1607261,737,731,730,702,715,756,0,-2,CZP_0_down2
20:38.1,112.3948124,738,733,730,703,716,758,0,-2,CZP_0_down2
20:38.1,107.404916,739,736,730,704,717,761,0,-2,CZP_0_down2
20:38.1,102.1346869,739,739,731,705,719,765,0,-2,CZP_0_down2
20:38.1,96.77922427,740,742,731,706,720,769,0,-2,CZP_0_down2
20:38.2,91.27782388,740,742,730,707,720,770,0,-2,CZP_0_down2
20:38.2,85.01840882,744,746,732,709,722,774,0,-2,CZP_0_down2
20:38.2,79.73583307,747,750,733,710,722,779,0,-2,CZP_0_down2
20:38.2,74.49364219,750,753,734,711,724,783,0,-2,CZP_0_down2
20:38.2,69.11620648,752,756,736,712,725,787,0,-2,CZP_0_down2
20:38.3,64.23453338,756,760,737,714,726,792,0,-2,CZP_0_down2
20:38.3,59.26679086,757,763,739,715,726,796,0,-2,CZP_0_down2
20:38.3,54.98154225,759,769,742,717,729,805,0,-2,CZP_0_down2
20:38.3,51.19647359,761,773,744,719,731,811,0,-2,CZP_0_down2
20:38.3,48.14028644,762,777,745,722,733,817,0,-2,CZP_0_down2
20:38.4,45.99995534,764,781,747,725,733,823,0,-2,CZP_0_down2
20:38.4,44.98011394,764,783,747,726,735,826,0,-2,CZP_0_down2
20:38.4,45.26618912,767,786,750,728,736,830,0,-2,CZP_0_down2
20:38.4,46.19834487,765,785,748,727,736,829,0,-2,CZP_0_down2
